"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-16T17:38:40.000Z",91260,0,366704,8,0,17.78,1864252
"2026-05-16T17:39:00.000Z",95936,0,366704,8,0,17.78,1864336
"2026-05-16T17:39:20.000Z",95936,0,366704,8,0,17.78,1864348
"2026-05-16T17:39:40.000Z",95936,0,366704,8,0,17.78,1864352
"2026-05-16T17:40:00.000Z",92228,0,366704,8,0,17.78,1864704
"2026-05-16T17:40:20.000Z",91800,0,366704,8,0,17.79,1865604
"2026-05-16T17:40:40.000Z",91800,0,366704,8,0,17.79,1865920
"2026-05-16T17:41:00.000Z",95516,0,366704,8,0,17.79,1866104
"2026-05-16T17:41:20.000Z",95320,0,366704,8,0,17.8,1866344
"2026-05-16T17:41:40.000Z",93896,0,366704,8,0,17.78,1864424
"2026-05-16T17:42:00.000Z",90276,0,366704,8,0,17.78,1865092
"2026-05-16T17:42:20.000Z",93424,0,366704,8,0,17.78,1864972
"2026-05-16T17:42:40.000Z",92616,0,366704,8,0,17.78,1864516
"2026-05-16T17:43:00.000Z",92356,0,366704,8,0,17.78,1864412
"2026-05-16T17:43:20.000Z",93308,0,366704,8,0,17.78,1864628
"2026-05-16T17:43:40.000Z",93308,0,366704,8,0,17.78,1864624
"2026-05-16T17:44:00.000Z",87628,0,366704,8,0,17.78,1865060
"2026-05-16T17:44:20.000Z",88492,0,366704,8,0,17.78,1865112
"2026-05-16T17:44:40.000Z",88492,0,366704,8,0,17.78,1865116
"2026-05-16T17:45:00.000Z",93272,0,366704,8,0,17.78,1865136
