"Time","Active for esxidr.hbmsolutions.mt","Swap consumed for esxidr.hbmsolutions.mt","Granted for esxidr.hbmsolutions.mt","Shared common for esxidr.hbmsolutions.mt","Ballooned memory for esxidr.hbmsolutions.mt","Host consumed % for esxidr.hbmsolutions.mt","Consumed for esxidr.hbmsolutions.mt"
"2026-05-23T17:27:00.000Z",3117800,0,2967512,8,0,43.3,4540584
"2026-05-23T17:27:20.000Z",3096280,0,2967528,8,0,43.21,4530748
"2026-05-23T17:27:40.000Z",2512592,0,3108844,8,0,44.62,4678856
"2026-05-23T17:28:00.000Z",2513220,0,3108844,8,0,44.6,4676704
"2026-05-23T17:28:20.000Z",2512600,0,3108844,8,0,44.57,4673648
"2026-05-23T17:28:40.000Z",2511348,0,3119084,8,0,44.67,4684192
"2026-05-23T17:29:00.000Z",2511348,0,3119084,8,0,44.67,4684244
"2026-05-23T17:29:20.000Z",2510188,0,3119096,8,0,44.67,4684304
"2026-05-23T17:29:40.000Z",3076416,0,3156652,8,0,45.04,4722484
"2026-05-23T17:30:00.000Z",3076428,0,3156724,8,0,45.05,4723428
"2026-05-23T17:30:20.000Z",3074008,0,3156736,8,0,45.02,4720704
"2026-05-23T17:30:40.000Z",2519720,0,3160008,8,0,45.06,4725400
"2026-05-23T17:31:00.000Z",2519812,0,3160028,8,0,45.11,4730224
