"Time","Usage for esxilocal.hbmsolutions.mt","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-22T02:05:00.000Z",15.43,2901
"2026-05-22T02:10:00.000Z",17.01,3198
"2026-05-22T02:15:00.000Z",17.32,3257
"2026-05-22T02:20:00.000Z",15.7,2952
"2026-05-22T02:25:00.000Z",16.62,3124
"2026-05-22T02:30:00.000Z",18.79,3533
"2026-05-22T02:35:00.000Z",15.94,2998
"2026-05-22T02:40:00.000Z",13.88,2611
"2026-05-22T02:45:00.000Z",15.03,2827
"2026-05-22T02:50:00.000Z",14.71,2767
"2026-05-22T02:55:00.000Z",14.39,2706
"2026-05-22T03:00:00.000Z",14.55,2736
"2026-05-22T03:05:00.000Z",14.56,2739
"2026-05-22T03:10:00.000Z",16.26,3057
"2026-05-22T03:15:00.000Z",15.58,2930
"2026-05-22T03:20:00.000Z",17.05,3206
"2026-05-22T03:25:00.000Z",15.98,3005
"2026-05-22T03:30:00.000Z",14.3,2690
"2026-05-22T03:35:00.000Z",14.85,2792
"2026-05-22T03:40:00.000Z",15.76,2964
"2026-05-22T03:45:00.000Z",15.72,2956
"2026-05-22T03:50:00.000Z",14.75,2774
"2026-05-22T03:55:00.000Z",16.04,3016
"2026-05-22T04:00:00.000Z",14.3,2690
"2026-05-22T04:05:00.000Z",16.38,3081
"2026-05-22T04:10:00.000Z",16.55,3112
"2026-05-22T04:15:00.000Z",15.45,2906
"2026-05-22T04:20:00.000Z",13.94,2622
"2026-05-22T04:25:00.000Z",15.85,2981
"2026-05-22T04:30:00.000Z",14.91,2804
"2026-05-22T04:35:00.000Z",14.5,2727
"2026-05-22T04:40:00.000Z",14.77,2777
"2026-05-22T04:45:00.000Z",15.84,2978
"2026-05-22T04:50:00.000Z",15.81,2973
"2026-05-22T04:55:00.000Z",14.32,2693
"2026-05-22T05:00:00.000Z",15.03,2827
"2026-05-22T05:05:00.000Z",14.49,2725
"2026-05-22T05:10:00.000Z",16.03,3015
"2026-05-22T05:15:00.000Z",16.4,3084
"2026-05-22T05:20:00.000Z",15.86,2982
"2026-05-22T05:25:00.000Z",14.74,2772
"2026-05-22T05:30:00.000Z",17.17,3228
"2026-05-22T05:35:00.000Z",17.21,3237
"2026-05-22T05:40:00.000Z",16.64,3130
"2026-05-22T05:45:00.000Z",14.29,2688
"2026-05-22T05:50:00.000Z",15.71,2954
