Time,Usage for esxilocal.hbmsolutions.mt,Usage for 0,Usage for 2,Usage for 1,Usage for 3,Usage in MHz for esxilocal.hbmsolutions.mt
2026-05-18T20:03:00.000Z,24.26,17.96,30.07,24.83,24.18,4561
2026-05-18T20:03:20.000Z,18.81,11.89,21.27,19.24,22.85,3537
2026-05-18T20:03:40.000Z,23.66,35.22,25.58,12.98,20.86,4448
2026-05-18T20:04:00.000Z,22.53,24.02,23.84,17.41,24.85,4236
2026-05-18T20:04:20.000Z,22.65,22.44,17.89,22.81,27.46,4258
2026-05-18T20:04:40.000Z,21.75,14.97,31.98,17.18,22.89,4090
2026-05-18T20:05:00.000Z,23.6,12.94,26.52,27.04,27.92,4438
2026-05-18T20:05:20.000Z,23.05,17.73,25.21,23.52,25.74,4334
2026-05-18T20:05:40.000Z,19.95,12.61,23.92,22.36,20.91,3751
2026-05-18T20:06:00.000Z,23.27,14.95,25.89,23.28,28.95,4375
2026-05-18T20:06:20.000Z,19.09,15.49,19.92,18.05,22.9,3589
2026-05-18T20:06:40.000Z,28.95,32.56,26.75,34.79,21.72,5444
2026-05-18T20:07:00.000Z,36.36,45.57,31.63,37.99,30.26,6837
2026-05-18T20:07:20.000Z,47.68,69.1,29.39,70.15,22.06,8964
2026-05-18T20:07:40.000Z,37.48,51.35,13.73,54.09,30.74,7046
2026-05-18T20:08:00.000Z,29.08,30,33.12,28.77,24.4,5467
2026-05-18T20:08:20.000Z,27.33,19.78,29.37,29.59,30.59,5139
2026-05-18T20:08:40.000Z,25.02,14.9,26.27,30.83,28.07,4704
2026-05-18T20:09:00.000Z,28.35,29.36,29.55,25.04,29.45,5330
2026-05-18T20:09:20.000Z,32.68,22.77,34.63,38.26,35.07,6144
2026-05-18T20:09:40.000Z,26.04,18.03,27.64,31.12,27.39,4896
2026-05-18T20:10:00.000Z,26.83,22.8,26.13,32.24,26.16,5045
2026-05-18T20:10:20.000Z,25.93,16.81,32.2,21.14,33.58,4876
2026-05-18T20:10:40.000Z,32.63,13.38,44.88,27.69,44.57,6135
2026-05-18T20:11:00.000Z,50.5,32.83,70.46,27.15,71.54,9494
2026-05-18T20:11:20.000Z,34.23,23.9,40.9,29.37,42.73,6435
2026-05-18T20:11:40.000Z,23.95,7.48,31.24,28.95,28.13,4503
2026-05-18T20:12:00.000Z,25.42,7.4,30.26,34.89,29.11,4778
2026-05-18T20:12:20.000Z,21.99,12.14,29.91,17.63,28.29,4135
2026-05-18T20:12:40.000Z,20.16,21.14,20.65,16.34,22.52,3791
2026-05-18T20:13:00.000Z,22.44,11.87,31.7,17.12,29.07,4219
2026-05-18T20:13:20.000Z,18.76,15.53,20.01,13.38,26.13,3528
2026-05-18T20:13:40.000Z,25.93,30.59,25.42,29.41,18.33,4876
2026-05-18T20:14:00.000Z,24.77,38.13,17.03,35.56,8.37,4658
2026-05-18T20:14:20.000Z,40.15,69.99,11.29,65.64,13.7,7549
2026-05-18T20:14:40.000Z,23.92,32.13,9.77,28.66,25.13,4498
2026-05-18T20:15:00.000Z,21.71,24.67,33.27,23.13,5.79,4083
2026-05-18T20:15:20.000Z,17.81,27.08,10.09,25.05,9.05,3350
2026-05-18T20:15:40.000Z,25.3,30.02,22.33,28.37,20.49,4758
2026-05-18T20:16:00.000Z,15.62,21.54,9.68,21.34,9.9,2936
2026-05-18T20:16:20.000Z,21.83,30.82,6.71,28.62,21.17,4105
2026-05-18T20:16:40.000Z,19.34,29.92,6.16,26.56,14.72,3636
2026-05-18T20:17:00.000Z,19.72,29.13,15.28,14.93,19.55,3708
2026-05-18T20:17:20.000Z,16.74,6.9,26.42,8.92,24.72,3148
2026-05-18T20:17:40.000Z,46.92,12.15,71.34,32.49,71.71,8821
2026-05-18T20:18:00.000Z,32.69,19.11,40.47,30.93,40.23,6145
2026-05-18T20:18:20.000Z,22.58,27.42,20.62,26.84,15.41,4244
2026-05-18T20:18:40.000Z,18.8,30.14,9.58,21.65,13.85,3535
2026-05-18T20:19:00.000Z,20.92,27.53,16.1,27.31,12.73,3933
2026-05-18T20:19:20.000Z,22.41,22.56,25.73,26.73,14.62,4214
2026-05-18T20:19:40.000Z,25.36,28.03,12.02,27.52,33.87,4768
2026-05-18T20:20:00.000Z,23.26,25.81,22.74,15.79,28.68,4373
2026-05-18T20:20:20.000Z,22.23,11.77,33.97,12.93,30.22,4179
2026-05-18T20:20:40.000Z,18.29,6.15,21.72,19.55,25.74,3439
2026-05-18T20:21:00.000Z,16.92,26.47,19.34,4.35,17.52,3181
2026-05-18T20:21:20.000Z,18.75,19.36,21.82,8.53,25.3,3526
2026-05-18T20:21:40.000Z,18.43,12.29,18.97,22.54,19.92,3466
2026-05-18T20:22:00.000Z,18.27,22.38,19.7,21.21,9.8,3436
