"Time","Host consumed % for esxidr.hbmsolutions.mt"
"2026-05-23T14:20:00.000Z",17.81
"2026-05-23T14:25:00.000Z",18.12
"2026-05-23T14:30:00.000Z",18.73
"2026-05-23T14:35:00.000Z",18.69
"2026-05-23T14:40:00.000Z",18.52
"2026-05-23T14:45:00.000Z",17.85
"2026-05-23T14:50:00.000Z",17.83
"2026-05-23T14:55:00.000Z",17.81
"2026-05-23T15:00:00.000Z",17.81
"2026-05-23T15:05:00.000Z",17.85
"2026-05-23T15:10:00.000Z",17.89
"2026-05-23T15:15:00.000Z",17.92
"2026-05-23T15:20:00.000Z",17.92
"2026-05-23T15:25:00.000Z",18.11
"2026-05-23T15:30:00.000Z",18.71
"2026-05-23T15:35:00.000Z",18.71
"2026-05-23T15:40:00.000Z",18.49
"2026-05-23T15:45:00.000Z",17.91
"2026-05-23T15:50:00.000Z",17.92
"2026-05-23T15:55:00.000Z",17.92
"2026-05-23T16:00:00.000Z",17.92
"2026-05-23T16:05:00.000Z",17.94
"2026-05-23T16:10:00.000Z",17.92
"2026-05-23T16:15:00.000Z",17.88
"2026-05-23T16:20:00.000Z",17.87
"2026-05-23T16:25:00.000Z",18.05
"2026-05-23T16:30:00.000Z",18.73
"2026-05-23T16:35:00.000Z",18.71
"2026-05-23T16:40:00.000Z",18.52
"2026-05-23T16:45:00.000Z",17.86
"2026-05-23T16:50:00.000Z",17.84
"2026-05-23T16:55:00.000Z",17.86
"2026-05-23T17:00:00.000Z",17.86
"2026-05-23T17:05:00.000Z",17.87
"2026-05-23T17:10:00.000Z",17.92
"2026-05-23T17:15:00.000Z",17.91
