"Time","Usage for esxilocal.hbmsolutions.mt","Usage for 0","Usage for 2","Usage for 1","Usage for 3","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-23T08:52:40.000Z",17.12,20.59,8.85,21.19,17.84,3219
"2026-05-23T08:53:00.000Z",17.58,18.26,24.6,20.01,7.44,3305
"2026-05-23T08:53:20.000Z",18.91,20.74,32.11,16.58,6.2,3555
"2026-05-23T08:53:40.000Z",14.08,16.4,9.94,20.09,9.88,2647
"2026-05-23T08:54:00.000Z",15.38,19.6,18.15,19.41,4.35,2892
"2026-05-23T08:54:20.000Z",14.98,17.42,12.43,23.11,6.96,2816
"2026-05-23T08:54:40.000Z",16.69,18.33,23.57,20.07,4.77,3137
"2026-05-23T08:55:00.000Z",14.15,17.78,8.09,18.55,12.2,2661
"2026-05-23T08:55:20.000Z",17.2,24.25,7.75,24.54,12.25,3233
"2026-05-23T08:55:40.000Z",16.79,20.41,18.52,22.51,5.71,3156
"2026-05-23T08:56:00.000Z",18.77,17.26,16.76,21.26,19.8,3529
"2026-05-23T08:56:20.000Z",15.09,18.49,11.56,19.5,10.8,2836
"2026-05-23T08:56:40.000Z",17.88,22.9,6.51,21.74,20.36,3361
"2026-05-23T08:57:00.000Z",18.44,19.62,8.28,24.35,21.53,3468
"2026-05-23T08:57:20.000Z",20.87,23.4,32.27,23.84,3.98,3925
"2026-05-23T08:57:40.000Z",13.55,18.91,6.23,22.38,6.69,2548
"2026-05-23T08:58:00.000Z",17.02,19.28,19.56,20.15,9.1,3200
"2026-05-23T08:58:20.000Z",16.97,16.62,8.7,20.9,21.66,3190
"2026-05-23T08:58:40.000Z",14.92,21.88,12.3,19.14,6.34,2805
"2026-05-23T08:59:00.000Z",16.69,21.29,5.26,20.83,19.37,3138
"2026-05-23T08:59:20.000Z",20.25,18.26,14.48,24.87,23.39,3807
"2026-05-23T08:59:40.000Z",18.49,8.31,20.86,19.05,25.75,3477
"2026-05-23T09:00:00.000Z",16.9,22.37,20.63,4.22,20.39,3178
"2026-05-23T09:00:20.000Z",13.65,4.92,20.51,12.47,16.7,2567
"2026-05-23T09:00:40.000Z",15.42,7.35,20.48,18.27,15.59,2900
"2026-05-23T09:01:00.000Z",17.58,9.61,21.27,20.92,18.5,3305
"2026-05-23T09:01:20.000Z",15.61,9.37,22.39,12.34,18.34,2935
"2026-05-23T09:01:40.000Z",12.55,3.85,22.04,7.82,16.48,2360
"2026-05-23T09:02:00.000Z",16.56,22.63,17.78,4.8,21.03,3114
"2026-05-23T09:02:20.000Z",16.21,15.06,20.09,12.99,16.73,3049
"2026-05-23T09:02:40.000Z",15.83,12.93,20.15,10.13,20.1,2976
"2026-05-23T09:03:00.000Z",20.83,8.25,31.09,18.32,25.67,3917
"2026-05-23T09:03:20.000Z",17.66,11.94,22.47,9.94,26.27,3320
"2026-05-23T09:03:40.000Z",17.57,12.22,21.15,14.84,22.06,3303
"2026-05-23T09:04:00.000Z",17.17,9.69,22.73,11.91,24.35,3228
"2026-05-23T09:04:20.000Z",17.47,6.83,18.93,21.28,22.85,3285
"2026-05-23T09:04:40.000Z",16.63,12.66,23.76,11.07,19.02,3127
"2026-05-23T09:05:00.000Z",17.3,10.04,23.47,11.48,24.2,3253
"2026-05-23T09:05:20.000Z",17.05,10.61,20.38,15.58,21.64,3206
"2026-05-23T09:05:40.000Z",15.17,17.17,17.97,7.04,18.52,2853
"2026-05-23T09:06:00.000Z",16.91,17.77,11.34,19.74,18.77,3179
"2026-05-23T09:06:20.000Z",18.74,20.63,9.35,19.87,25.11,3523
"2026-05-23T09:06:40.000Z",16.18,20.31,15.75,20.58,8.1,3043
"2026-05-23T09:07:00.000Z",19.68,17.91,12.7,22.07,26.05,3701
"2026-05-23T09:07:20.000Z",22.64,29.06,23.17,18.25,20.09,4257
"2026-05-23T09:07:40.000Z",16.55,17.64,20.81,5.25,22.5,3112
"2026-05-23T09:08:00.000Z",21.9,24.19,24.39,19.61,19.41,4117
"2026-05-23T09:08:20.000Z",18.18,22.53,12.78,21.58,15.83,3418
"2026-05-23T09:08:40.000Z",17.82,18.16,10.93,18.14,24.05,3351
"2026-05-23T09:09:00.000Z",15.29,17.48,13.73,20.39,9.56,2875
"2026-05-23T09:09:20.000Z",17.54,20.12,10.08,19.5,20.46,3298
"2026-05-23T09:09:40.000Z",14.25,17.78,10.68,18.31,10.25,2680
"2026-05-23T09:10:00.000Z",20.53,20.53,33.3,21.12,7.15,3859
"2026-05-23T09:10:20.000Z",20.45,18.41,27.87,19.95,15.57,3845
"2026-05-23T09:10:40.000Z",20.85,21,17.81,18.45,26.14,3920
"2026-05-23T09:11:00.000Z",14.82,19.21,9.72,20.9,9.46,2787
"2026-05-23T09:11:20.000Z",18,23.2,12.44,17.4,18.95,3384
"2026-05-23T09:11:40.000Z",23.53,25.36,15.46,32.52,20.8,4425
"2026-05-23T09:12:00.000Z",15.6,21.17,11.36,21.18,8.67,2933
"2026-05-23T09:12:20.000Z",18.18,18.36,23.49,13.17,17.69,3418
"2026-05-23T09:12:40.000Z",17.48,12.94,21.54,15.86,19.58,3287
"2026-05-23T09:13:00.000Z",16.8,10.73,23.91,12.86,19.72,3160
"2026-05-23T09:13:20.000Z",15.43,15.66,19.1,9.77,17.18,2901
"2026-05-23T09:13:40.000Z",19.39,10.21,18.08,30.36,18.93,3646
"2026-05-23T09:14:00.000Z",18.49,10.86,26.87,11.96,24.26,3476
"2026-05-23T09:14:20.000Z",22.25,18.52,20.21,23.62,26.65,4183
"2026-05-23T09:14:40.000Z",20.39,24.28,22.03,14.92,20.33,3833
"2026-05-23T09:15:00.000Z",20.14,24.17,23.89,10.23,22.28,3787
"2026-05-23T09:15:20.000Z",21.05,28.77,21.29,9.78,24.36,3958
"2026-05-23T09:15:40.000Z",17.66,12.5,25.2,7.96,24.99,3321
"2026-05-23T09:16:00.000Z",23.67,24.71,23.63,22.67,23.65,4450
"2026-05-23T09:16:20.000Z",18.24,20,24.08,8.17,20.71,3429
"2026-05-23T09:16:40.000Z",18.35,12.6,20.94,19.97,19.9,3450
"2026-05-23T09:17:00.000Z",20.56,21.06,25.64,12.75,22.78,3865
"2026-05-23T09:17:20.000Z",19.78,9.33,26.23,15.11,28.45,3719
"2026-05-23T09:17:40.000Z",18.98,19.11,26.83,23.08,6.89,3568
"2026-05-23T09:18:00.000Z",17.22,18.87,5.55,22.75,21.69,3237
"2026-05-23T09:18:20.000Z",16.84,19.06,5.54,18.02,24.75,3167
"2026-05-23T09:18:40.000Z",20.87,24.02,22.8,24.99,11.68,3924
"2026-05-23T09:19:00.000Z",16.5,22.92,9.38,21.56,12.14,3103
"2026-05-23T09:19:20.000Z",16,23.4,9.18,20.98,10.44,3009
"2026-05-23T09:19:40.000Z",23.52,28.67,15.81,30.74,18.87,4423
"2026-05-23T09:20:00.000Z",43.17,41.93,49.39,34.58,46.78,8117
"2026-05-23T09:20:20.000Z",36.49,32.96,37.6,35.85,39.53,6860
"2026-05-23T09:20:40.000Z",48.24,12.82,79.08,25.83,75.21,9069
"2026-05-23T09:21:00.000Z",34.12,30.02,38.63,31.85,35.96,6414
"2026-05-23T09:21:20.000Z",20.76,24.65,24.12,7.2,27.09,3904
"2026-05-23T09:21:40.000Z",21.36,14.44,22.88,25.26,22.84,4015
"2026-05-23T09:22:00.000Z",25.75,28.71,29.89,10.54,33.87,4842
